Date,Time,Timer,Temperature,Condition,Light,Car,CarDuration
2022-06-26,08-48-14.694,1.0,16.93,overcast clouds,Red,True,2
2022-06-26,08-48-27.224,11.0,16.93,overcast clouds,Green,True,3
2022-06-26,08-48-29.303,1.0,16.93,overcast clouds,Red,False,0
2022-06-26,08-48-31.379,1.0,16.93,overcast clouds,Green,False,0
2022-06-26,08-48-33.452,1.0,16.93,overcast clouds,Red,False,0
2022-06-26,08-48-37.611,3.0,16.93,overcast clouds,Green,False,0
2022-06-26,08-48-39.691,1.0,16.93,overcast clouds,Red,False,0
2022-06-26,08-48-42.251,3.0,16.93,overcast clouds,Green,False,0
2022-06-26,08-48-43.809,1.0,16.93,overcast clouds,Red,False,0
2022-06-26,08-48-54.458,10.0,16.93,overcast clouds,Green,False,2
2022-06-26,08-48-58.432,2.0,16.93,overcast clouds,Red,False,0
2022-06-26,08-49-25.291,25.0,16.93,overcast clouds,Green,False,0
2022-06-26,08-49-27.349,1.0,16.93,overcast clouds,Red,False,0
2022-06-26,08-49-39.899,13.0,16.93,overcast clouds,Green,False,0
2022-06-26,08-49-41.925,1.0,16.93,overcast clouds,Red,False,0
2022-06-26,08-49-46.032,3.0,16.93,overcast clouds,Green,False,0
2022-06-26,08-49-48.116,1.0,16.93,overcast clouds,Red,False,0
2022-06-26,08-50-09.016,19.0,16.93,overcast clouds,Green,False,0
2022-06-26,08-50-11.128,1.0,16.93,overcast clouds,Red,False,0
2022-06-26,08-50-28.178,17.0,16.93,overcast clouds,Green,False,0
2022-06-26,08-50-29.777,1.0,16.93,overcast clouds,Red,False,0
2022-06-26,08-50-31.834,1.0,16.93,overcast clouds,Green,False,0
2022-06-26,08-50-33.967,1.0,16.93,overcast clouds,Red,False,0
2022-06-26,08-50-37.171,1.0,16.93,overcast clouds,Green,False,0
2022-06-26,08-50-43.396,5.0,16.94,overcast clouds,Red,False,0
2022-06-26,08-50-43.938,1,16.94,overcast clouds,Green,False,0
2022-06-26,08-50-49.560,4.0,16.94,overcast clouds,Red,False,0
2022-06-26,08-50-49.993,1,16.94,overcast clouds,Green,False,0
2022-06-26,08-50-51.698,1,16.94,overcast clouds,Red,False,0
2022-06-26,08-50-53.770,1.0,16.94,overcast clouds,Green,False,0
2022-06-26,08-50-54.315,1.0,16.94,overcast clouds,Red,False,0
